Max Iter;Fold;Accuracy;Precision;Recall;F Measure
250.0;1.0;0.76923;0.76548;0.7731;0.76824
250.0;2.0;0.76779;0.73641;0.75388;0.73353
250.0;3.0;0.81648;0.84838;0.76988;0.79442
250.0;4.0;0.79545;0.75988;0.70988;0.72542
250.0;5.0;0.77606;0.82773;0.80891;0.80987
500.0;1.0;0.80586;0.83142;0.80337;0.81302
500.0;2.0;0.79775;0.79783;0.77336;0.77545
500.0;3.0;0.82397;0.8521;0.77784;0.80032
500.0;4.0;0.7803;0.74335;0.70099;0.7144
500.0;5.0;0.83784;0.87281;0.85743;0.85785
750.0;1.0;0.81685;0.84064;0.81143;0.82117
750.0;2.0;0.79775;0.7758;0.78083;0.7677
750.0;3.0;0.81273;0.84375;0.76717;0.79084
750.0;4.0;0.79167;0.78313;0.74516;0.76058
750.0;5.0;0.81853;0.8618;0.84179;0.84573
1000.0;1.0;0.81319;0.8369;0.84734;0.83998
1000.0;2.0;0.80524;0.77955;0.78678;0.77288
1000.0;3.0;0.83521;0.86257;0.78579;0.80971
1000.0;4.0;0.7803;0.74935;0.69748;0.7152
1000.0;5.0;0.81467;0.85695;0.83863;0.84102
1500.0;1.0;0.81319;0.83847;0.80781;0.81814
1500.0;2.0;0.80524;0.78101;0.78478;0.77252
1500.0;3.0;0.83146;0.85851;0.78146;0.80549
1500.0;4.0;0.7803;0.77523;0.73693;0.75294
1500.0;5.0;0.83398;0.87423;0.85326;0.85621
2000.0;1.0;0.81319;0.83809;0.80781;0.81813
2000.0;2.0;0.80899;0.78306;0.78895;0.77568
2000.0;3.0;0.82772;0.85503;0.77929;0.80266
2000.0;4.0;0.78788;0.78257;0.74294;0.75935
2000.0;5.0;0.83398;0.87323;0.85517;0.85677
5000.0;1.0;0.81319;0.83896;0.80781;0.81872
5000.0;2.0;0.80524;0.78101;0.78478;0.77252
5000.0;3.0;0.82022;0.84885;0.77188;0.79577
5000.0;4.0;0.79167;0.785;0.74673;0.76242
5000.0;5.0;0.83398;0.87323;0.85517;0.85677
