Tol;Fold;Accuracy;Precision;Recall;F Measure
0.0001;1.0;0.81319;0.83809;0.80781;0.81813
0.0001;2.0;0.80899;0.78306;0.78895;0.77568
0.0001;3.0;0.82772;0.85503;0.77929;0.80266
0.0001;4.0;0.78788;0.78257;0.74294;0.75935
0.0001;5.0;0.83398;0.87323;0.85517;0.85677
0.0005;1.0;0.81319;0.83809;0.80781;0.81813
0.0005;2.0;0.80899;0.78306;0.78895;0.77568
0.0005;3.0;0.82772;0.85503;0.77929;0.80266
0.0005;4.0;0.78788;0.78257;0.74294;0.75935
0.0005;5.0;0.83398;0.87323;0.85517;0.85677
0.001;1.0;0.81319;0.83809;0.80781;0.81813
0.001;2.0;0.80899;0.78306;0.78895;0.77568
0.001;3.0;0.82772;0.85503;0.77929;0.80266
0.001;4.0;0.78788;0.78257;0.74294;0.75935
0.001;5.0;0.83398;0.87323;0.85517;0.85677
0.005;1.0;0.81319;0.83809;0.80781;0.81813
0.005;2.0;0.80899;0.78306;0.78895;0.77568
0.005;3.0;0.82772;0.85503;0.77929;0.80266
0.005;4.0;0.78788;0.78257;0.74294;0.75935
0.005;5.0;0.83398;0.87323;0.85517;0.85677
0.01;1.0;0.81685;0.84181;0.81197;0.82184
0.01;2.0;0.80899;0.78306;0.78895;0.77568
0.01;3.0;0.82772;0.85503;0.77929;0.80266
0.01;4.0;0.78788;0.78257;0.74294;0.75935
0.01;5.0;0.83398;0.87323;0.85517;0.85677
0.05;1.0;0.81319;0.83809;0.80781;0.81813
0.05;2.0;0.80899;0.78306;0.78895;0.77568
0.05;3.0;0.82772;0.85503;0.77929;0.80266
0.05;4.0;0.78788;0.78257;0.74294;0.75935
0.05;5.0;0.83398;0.87323;0.85517;0.85677
0.1;1.0;0.81685;0.84181;0.81197;0.82184
0.1;2.0;0.80899;0.78306;0.78895;0.77568
0.1;3.0;0.82772;0.85503;0.77929;0.80266
0.1;4.0;0.78409;0.78013;0.73915;0.75623
0.1;5.0;0.83398;0.87323;0.85517;0.85677
0.5;1.0;0.80586;0.83178;0.80188;0.81215
0.5;2.0;0.80524;0.78101;0.78478;0.77252
0.5;3.0;0.83146;0.85703;0.78183;0.80464
0.5;4.0;0.7803;0.77136;0.74006;0.75257
0.5;5.0;0.83012;0.86984;0.85054;0.85405
