C;Fold;Accuracy;Precision;Recall;F Measure
0.5;1.0;0.70696;0.68094;0.6774;0.66849
0.5;2.0;0.62921;0.58028;0.5811;0.56319
0.5;3.0;0.66292;0.65444;0.5945;0.59845
0.5;4.0;0.63258;0.5904;0.58193;0.56349
0.5;5.0;0.68726;0.69237;0.67468;0.66432
1.0;1.0;0.69597;0.66224;0.65655;0.64962
1.0;2.0;0.62921;0.57717;0.58377;0.56476
1.0;3.0;0.64419;0.60965;0.56983;0.56688
1.0;4.0;0.63636;0.61336;0.59409;0.5765
1.0;5.0;0.6834;0.66729;0.66735;0.65313
1.5;1.0;0.69597;0.66224;0.65655;0.64962
1.5;2.0;0.62921;0.57717;0.58377;0.56476
1.5;3.0;0.64419;0.60965;0.56983;0.56688
1.5;4.0;0.63636;0.61336;0.59409;0.5765
1.5;5.0;0.6834;0.66729;0.66735;0.65313
2.0;1.0;0.69597;0.66224;0.65655;0.64962
2.0;2.0;0.62921;0.57717;0.58377;0.56476
2.0;3.0;0.64419;0.60965;0.56983;0.56688
2.0;4.0;0.63636;0.61336;0.59409;0.5765
2.0;5.0;0.6834;0.66729;0.66735;0.65313
2.5;1.0;0.69597;0.66224;0.65655;0.64962
2.5;2.0;0.62921;0.57717;0.58377;0.56476
2.5;3.0;0.64419;0.60965;0.56983;0.56688
2.5;4.0;0.63636;0.61336;0.59409;0.5765
2.5;5.0;0.6834;0.66729;0.66735;0.65313
3.0;1.0;0.69597;0.66224;0.65655;0.64962
3.0;2.0;0.62921;0.57717;0.58377;0.56476
3.0;3.0;0.64419;0.60965;0.56983;0.56688
3.0;4.0;0.63636;0.61336;0.59409;0.5765
3.0;5.0;0.6834;0.66729;0.66735;0.65313
