Tol;Fold;Accuracy;Precision;Recall;F Measure
0.0001;1.0;0.70696;0.68094;0.6774;0.66849
0.0001;2.0;0.62921;0.58028;0.5811;0.56319
0.0001;3.0;0.66292;0.65444;0.5945;0.59845
0.0001;4.0;0.63258;0.5904;0.58193;0.56349
0.0001;5.0;0.68726;0.69237;0.67468;0.66432
0.0005;1.0;0.70696;0.68094;0.6774;0.66849
0.0005;2.0;0.62921;0.58028;0.5811;0.56319
0.0005;3.0;0.66292;0.65444;0.5945;0.59845
0.0005;4.0;0.63258;0.5904;0.58193;0.56349
0.0005;5.0;0.68726;0.69237;0.67468;0.66432
0.001;1.0;0.70696;0.68094;0.6774;0.66849
0.001;2.0;0.62921;0.58028;0.5811;0.56319
0.001;3.0;0.66292;0.65444;0.5945;0.59845
0.001;4.0;0.63258;0.5904;0.58193;0.56349
0.001;5.0;0.68726;0.69237;0.67468;0.66432
0.005;1.0;0.70696;0.68094;0.6774;0.66849
0.005;2.0;0.62921;0.58028;0.5811;0.56319
0.005;3.0;0.66292;0.65444;0.5945;0.59845
0.005;4.0;0.63258;0.58906;0.58193;0.56344
0.005;5.0;0.68726;0.69237;0.67468;0.66432
0.01;1.0;0.70696;0.68094;0.6774;0.66849
0.01;2.0;0.62921;0.58028;0.5811;0.56319
0.01;3.0;0.66292;0.65444;0.5945;0.59845
0.01;4.0;0.63258;0.59073;0.58193;0.56384
0.01;5.0;0.68726;0.69237;0.67468;0.66432
0.05;1.0;0.70696;0.68051;0.6774;0.66845
0.05;2.0;0.62921;0.57362;0.5811;0.55919
0.05;3.0;0.65918;0.64611;0.58783;0.59162
0.05;4.0;0.62879;0.58992;0.5786;0.56126
0.05;5.0;0.68726;0.69237;0.67468;0.66432
0.1;1.0;0.7033;0.67094;0.6674;0.65849
0.1;2.0;0.62921;0.57352;0.5811;0.55899
0.1;3.0;0.66292;0.65111;0.5945;0.59654
0.1;4.0;0.63258;0.59755;0.58193;0.56328
0.1;5.0;0.68726;0.69237;0.67468;0.66432
0.5;1.0;0.7033;0.66027;0.67122;0.65526
0.5;2.0;0.6367;0.59093;0.60828;0.583
0.5;3.0;0.66292;0.64964;0.5945;0.59606
0.5;4.0;0.63636;0.58719;0.58742;0.56677
0.5;5.0;0.67954;0.67878;0.65819;0.64982
