coarse;fine;english;indo
ABBR;abb;What is the acronym for the rating system for air conditioner efficiency ?;Apa akronim untuk sistem peringkat untuk efisiensi AC?
ABBR;abb;What is the abbreviation for Original Equipment Manufacturer ?;Apa singkatan untuk Original Equipment Manufacturer?
ABBR;abb;What is the abbreviation of the company name ` General Motors ' ?;Apa singkatan dari nama perusahaan `General Motors '?
ABBR;abb;What is the acronym for the National Bureau of Investigation ?;Apa akronim untuk Biro Investigasi Nasional?
ABBR;abb;What is the abbreviation of General Motors ?;Apa singkatan dari General Motors?
ABBR;abb;What is the abbreviation of the National Bureau of Investigation ?;Apa singkatan dari Biro Investigasi Nasional?
ABBR;abb;What is the abbreviation of the International Olympic Committee ?;Apa singkatan dari Komite Olimpiade Internasional?
ABBR;abb;What 's the abbreviation for trinitrotoluene ?;Apa singkatan dari trinitrotoluene?
ABBR;abb;What is the correct way to abbreviate cc. at the bottom of a business letter ?;Apa cara yang benar untuk menyingkat cc.???di bagian bawah surat bisnis?
ABBR;abb;What 's the abbreviation for limited partnership ?;Apa singkatan untuk kemitraan terbatas?
ABBR;exp;CNN is the abbreviation for what ?;CNN adalah singkatan untuk apa?
ABBR;exp;What does the abbreviation IOC stand for ?;Untuk apa singkatan IOC?
ABBR;exp;What does NECROSIS mean ?;Apa yang dimaksud dengan NECROSIS?
ABBR;exp;What does NAFTA stand for ?;Apa kepanjangan dari NAFTA?
ABBR;exp;What do the letters D.C. stand for in Washington , D.C. ?;Apa artinya huruf-huruf DC di Washington, DC?
ABBR;exp;What does the channel ESPN stand for ?;Untuk apa saluran ESPN berdiri?
ABBR;exp;What does the word LASER mean ?;Apa arti kata LASER?
ABBR;exp;What does the  c  stand for in the equation E=mc2 ?;Apa artinya c dalam persamaan E = mc2?
ABBR;exp;What does INRI stand for when used on Jesus ' cross ?;Apa arti INRI yang digunakan pada salib Yesus?
DESC;def;What does the name  Sabrina  mean ?;Apa arti nama Sabrina?
DESC;def;How is thalassemia defined ?;Bagaimana thalassemia didefinisikan?
DESC;def;What is the virus HIV ?;Apa itu virus HIV?
DESC;def;What is the definition of ` graphic details ' ?;Apa definisi `detail grafis '?
DESC;def;What is a handheld PC ?;Apa itu PC genggam?
DESC;def;What is Australia Day ?;Apa itu Hari Australia?
DESC;def;What is gymnophobia ?;Apa itu gymnophobia?
DESC;def;What does the word  meta  mean ?;Apa arti kata meta?
DESC;def;What is thalassemia ?;Apa itu talasemia?
DESC;def;What is paracetamol ?;Apa itu parasetamol?
DESC;def;What does caliente mean , in English ?;Apa arti caliente, dalam bahasa Inggris?
DESC;def;What is pasta ?;Apa itu pasta?
DESC;def;What are a baseball team 's firemen ?;Apa itu petugas pemadam kebakaran tim bisbol?
DESC;def;What is a pyrotechnic display ?;Apa itu tampilan piroteknik?
DESC;def;What is the meaning of W.B. Yeat 's poem ,  The Three Hermits ? ;Apa arti dari puisi WB Yeat, The Three Hermits?
DESC;def;What is film noir ?;Apa itu film noir?
DESC;def;What are the seven virtues ?;Apa tujuh kebajikan itu?
DESC;def;What is dextropropoxyphen napsylate ?;Apa itu dextropropoxyphen napsylate?
DESC;def;What does  Semper Fidelis  mean ?;Apa yang dimaksud dengan Sempre Fidelis?
DESC;def;What is saltpeter ?;Apa itu sendawa?
DESC;def;What is a Guild ?;Apa itu Persekutuan?
DESC;def;What is Nitrox diving ?;Apa itu menyelam Nitrox?
DESC;def;What is graduate school ?;Apa itu sekolah pascasarjana?
DESC;def;What is Java ?;Apa itu Jawa ?
DESC;def;What do the number 1 , 2 , and 4 mean on Dr. Pepper bottles ?;Apa arti angka 1, 2, dan 4 pada botol Dr. Pepper?
DESC;def;What is Zionism ?;Apa itu Zionisme?
