;Fine Class;F-Measure
33;ABBR:abb;0.8933333333333333
49;ABBR:exp;0.4133333333333333
27;DESC:def;0.7466536426536426
11;DESC:desc;0.5015584415584414
19;DESC:manner;0.8960922266139658
15;DESC:reason;0.8476619083941739
18;ENTY:animal;0.47777777777777775
44;ENTY:body;0.2
46;ENTY:color;0.9777777777777779
40;ENTY:cremat;0.51994227994228
9;ENTY:currency;0.8666666666666666
14;ENTY:dismed;0.672194472194472
48;ENTY:event;0.43797979797979797
16;ENTY:food;0.5204795204795205
28;ENTY:instru;0.6666666666666666
6;ENTY:lang;0.76
10;ENTY:letter;0.2
30;ENTY:other;0.23098290598290597
43;ENTY:plant;0.38
5;ENTY:product;0.2404761904761905
23;ENTY:religion;0.3333333333333333
25;ENTY:sport;0.4337362637362638
0;ENTY:substance;0.46333333333333326
26;ENTY:symbol;0.5666666666666667
22;ENTY:techmeth;0.2942857142857143
12;ENTY:termeq;0.21714285714285717
2;ENTY:veh;0.5542857142857143
41;ENTY:word;0.7633333333333333
21;HUM:desc;0.8492063492063492
17;HUM:gr;0.39326007326007323
38;HUM:ind;0.7023705406174998
37;HUM:title;0.5933333333333334
35;LOC:city;0.8024242424242424
13;LOC:country;0.8546380090497738
32;LOC:mount;0.4714285714285714
36;LOC:other;0.7111816600018315
8;LOC:state;0.8114285714285714
45;NUM:code;0.8666666666666666
20;NUM:count;0.8487908496732025
29;NUM:date;0.8486602870813398
3;NUM:dist;0.6076190476190476
39;NUM:money;0.7341880341880341
1;NUM:ord;1.0
31;NUM:other;0.27999999999999997
7;NUM:perc;0.47428571428571437
34;NUM:period;0.7977777777777778
4;NUM:speed;0.9333333333333333
42;NUM:temp;0.5
47;NUM:volsize;0.6933333333333334
24;NUM:weight;0.7333333333333333
